AAL,Aalborg Airport,DK,Aalborg,large_airport
ABQ,Albuquerque International Sunport,US,Albuquerque,large_airport
ABV,Nnamdi Azikiwe International Airport,NG,Abuja,large_airport
ABZ,Aberdeen Dyce Airport,GB,Aberdeen,large_airport
ACA,General Juan N Alvarez International Airport,MX,Acapulco,large_airport
ACC,Kotoka International Airport,GH,Accra,large_airport
ADA,Adana Airport,TR,Adana,large_airport
ADB,Adnan Menderes International Airport,TR,İzmir,large_airport
ADD,Addis Ababa Bole International Airport,ET,Addis Ababa,large_airport
ADL,Adelaide International Airport,AU,Adelaide,large_airport
ADW,Andrews Air Force Base,US,Camp Springs,large_airport
AER,Sochi International Airport,RU,Sochi,large_airport
AFW,Fort Worth Alliance Airport,US,Fort Worth,large_airport
AGP,Málaga Airport,ES,Málaga,large_airport
AGS,Augusta Regional At Bush Field,US,Augusta,large_airport
AKL,Auckland International Airport,NZ,Auckland,large_airport
AKT,RAF Akrotiri,GB,Akrotiri,large_airport
ALA,Almaty Airport,KZ,Almaty,large_airport
ALC,Alicante International Airport,ES,Alicante,large_airport
ALG,Houari Boumediene Airport,DZ,Algiers,large_airport
ALP,Aleppo International Airport,SY,Aleppo,large_airport
AMA,Rick Husband Amarillo International Airport,US,Amarillo,large_airport
AMM,Queen Alia International Airport,JO,Amman,large_airport
AMS,Amsterdam Airport Schiphol,NL,Amsterdam,large_airport
ANC,Ted Stevens Anchorage International Airport,US,Anchorage,large_airport
ARN,Stockholm-Arlanda Airport,SE,Stockholm,large_airport
ATH,Eleftherios Venizelos International Airport,GR,Athens,large_airport
ATL,Hartsfield Jackson Atlanta International Airport,US,Atlanta,large_airport
ATQ,Sri Guru Ram Dass Jee International Airport,IN,Amritsar,large_airport
AUH,Abu Dhabi International Airport,AE,Abu Dhabi,large_airport
AUS,Austin Bergstrom International Airport,US,Austin,large_airport
AVL,Asheville Regional Airport,US,Asheville,large_airport
AYT,Antalya International Airport,TR,Antalya,large_airport
BAB,Beale Air Force Base,US,Marysville,large_airport
BAD,Barksdale Air Force Base,US,Bossier City,large_airport
BAH,Bahrain International Airport,BH,Manama,large_airport
BCN,Barcelona International Airport,ES,Barcelona,large_airport
BDL,Bradley International Airport,US,Hartford,large_airport
BEG,Belgrade Nikola Tesla Airport,RS,Belgrade,large_airport
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,BR,Belém,large_airport
BEY,Beirut Rafic Hariri International Airport,LB,Beirut,large_airport
BFI,Boeing Field King County International Airport,US,Seattle,large_airport
BFS,Belfast International Airport,GB,Belfast,large_airport
BGO,Bergen Airport Flesland,NO,Bergen,large_airport
BGR,Bangor International Airport,US,Bangor,large_airport
BGW,Baghdad International Airport,IQ,Baghdad,large_airport
BGY,Il Caravaggio International Airport,IT,Bergamo,large_airport
BHD,George Best Belfast City Airport,GB,Belfast,large_airport
BHM,Birmingham-Shuttlesworth International Airport,US,Birmingham,large_airport
BHX,Birmingham International Airport,GB,Birmingham,large_airport
BIL,Billings Logan International Airport,US,Billings,large_airport
BJV,Milas Bodrum International Airport,TR,Bodrum,large_airport
BKK,Suvarnabhumi Airport,TH,Bangkok,large_airport
BLA,General José Antonio Anzoategui International Airport,VE,Barcelona,large_airport
BLL,Billund Airport,DK,Billund,large_airport
BLQ,Bologna Guglielmo Marconi Airport,IT,Bologna,large_airport
BLR,Kempegowda International Airport,IN,Bangalore,large_airport
BLV,Scott AFB/Midamerica Airport,US,Belleville,large_airport
BMI,Central Illinois Regional Airport at Bloomington-Normal,US,Bloomington/Normal,large_airport
BNA,Nashville International Airport,US,Nashville,large_airport
BNE,Brisbane International Airport,AU,Brisbane,large_airport
BOD,Bordeaux-Mérignac Airport,FR,Bordeaux/Mérignac,large_airport
BOG,El Dorado International Airport,CO,Bogota,large_airport
BOH,Bournemouth Airport,GB,Bournemouth,large_airport
BOI,Boise Air Terminal/Gowen Field,US,Boise,large_airport
BOJ,Burgas Airport,BG,Burgas,large_airport
BOM,Chhatrapati Shivaji International Airport,IN,Mumbai,large_airport
BOO,Bodø Airport,NO,Bodø,large_airport
BOS,General Edward Lawrence Logan International Airport,US,Boston,large_airport
BRE,Bremen Airport,DE,Bremen,large_airport
BRI,Bari Karol Wojtyła Airport,IT,Bari,large_airport
BRS,Bristol Airport,GB,Bristol,large_airport
BRU,Brussels Airport,BE,Brussels,large_airport
BSB,Presidente Juscelino Kubistschek International Airport,BR,Brasília,large_airport
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,Bâle/Mulhouse,large_airport
BSR,Basrah International Airport,IQ,Basrah,large_airport
BTS,M. R. Štefánik Airport,SK,Bratislava,large_airport
